ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),,,,,Min Max 2010,Min Max 2011,Min Max 2012,Min Max 2013,Min Max 2014,Min Max 2015,Min Max 2016,Min Max 2017,Min Max 2018,Min Max 2019,Min Max 2020,Min Max 2021
CHN,China,Asia,Northern Hemisphere,High,EAP,79,24.1,24.1,23.3,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,,,,,0.29,0.29,0.28,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
DOM,Dominican Republic,America,Northern Hemisphere,High,LAC,80,31.9,32.5,30.6,32.2,28.6,29.8,30.4,26.1,27.8,25.6,25.6,25.6,,,,,0.42,0.43,0.40,0.42,0.36,0.38,0.39,0.32,0.35,0.32,0.32,0.32
MDA,Moldova,Europe,Northern Hemisphere,High,ECA,80,14.8,13.6,12.3,11.8,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,,,,,0.14,0.12,0.10,0.10,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
PER,Peru,America,Southern Hemisphere,High,LAC,84,31.3,30.4,30.3,29.5,28.5,28.7,29,28.6,27.3,26.3,26.3,26.3,,,,,0.41,0.39,0.39,0.38,0.36,0.37,0.37,0.36,0.34,0.33,0.33,0.33
ARM,Armenia,Asia,Northern Hemisphere,High,ECA,85,14.3,14.3,14.3,14.3,14.3,14.3,17.4,17.4,17.4,17.4,17.4,17.4,,,,,0.14,0.14,0.14,0.14,0.14,0.14,0.19,0.19,0.19,0.19,0.19,0.19
MEX,Mexico,America,Northern Hemisphere,High,LAC,86,32.4,32.4,33.9,33.9,33.7,33.7,30.8,30.8,29.8,29.8,29.8,29.8,,,,,0.43,0.43,0.45,0.45,0.45,0.45,0.40,0.40,0.38,0.38,0.38,0.38
BRA,Brazil,America,Southern Hemisphere,High,LAC,87,41.2,40.3,40.7,39.5,38.6,38.6,40.5,40.8,41.6,41.3,41.3,41.3,,,,,0.57,0.55,0.56,0.54,0.52,0.52,0.56,0.56,0.57,0.57,0.57,0.57
COL,Colombia,America,Northern Hemisphere,High,LAC,88,41.8,40.4,39.5,39.5,39.3,37.3,36.8,35.5,36.4,37.7,37.7,37.7,,,,,0.58,0.55,0.54,0.54,0.54,0.50,0.50,0.48,0.49,0.51,0.51,0.51
MDV,Maldives,Asia,Northern Hemisphere,High,SA,90,23.2,23.2,23.2,23.2,23.2,23.2,25.8,25.8,25.8,25.8,25.8,25.8,,,,,0.28,0.28,0.28,0.28,0.28,0.28,0.32,0.32,0.32,0.32,0.32,0.32
AZE,Azerbaijan,Asia,Northern Hemisphere,High,ECA,91,24.3,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,,,,,0.30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
DZA,Algeria,Africa,Northern Hemisphere,High,AS,91,24.3,24.04,24.06,11.4,11.4,11.4,11.4,11.4,11.4,11.5,11.5,11.5,,,,,0.30,0.29,0.29,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
TKM,Turkmenistan,Asia,Northern Hemisphere,High,ECA,91,25,25,24.06,24.3,23.64,23.28,26.8,26.8,26.8,26.2,26.2,26.2,,,,,0.31,0.31,0.29,0.30,0.29,0.28,0.34,0.34,0.34,0.33,0.33,0.33
TON,Tonga,Oceania,Southern Hemisphere,High,EAP,91,24.3,24.04,24.06,24.3,23.64,23.28,23.44,23.36,23.15,18.2,18.2,18.2,,,,,0.30,0.29,0.29,0.30,0.29,0.28,0.28,0.28,0.28,0.20,0.20,0.20
ECU,Ecuador,America,Southern Hemisphere,High,LAC,95,34.6,31.6,31.9,32,29.9,31.3,30.3,29.9,30.6,31.1,31.1,31.1,,,,,0.46,0.41,0.42,0.42,0.39,0.41,0.39,0.39,0.40,0.40,0.40,0.40
MNG,Mongolia,Asia,Northern Hemisphere,High,EAP,96,19.7,24.04,24.06,24.3,15.7,15.7,15.7,15.7,16.9,16.9,16.9,16.9,,,,,0.22,0.29,0.29,0.30,0.16,0.16,0.16,0.16,0.18,0.18,0.18,0.18
EGY,Egypt,Africa,Northern Hemisphere,High,AS,97,24.3,24.04,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,,,,,0.30,0.29,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
TUN,Tunisia,Africa,Northern Hemisphere,High,AS,97,24.3,24.04,18.9,18.9,18.9,18.9,18.9,18.9,16.9,16.9,16.9,16.9,,,,,0.30,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.18,0.18,0.18
FJI,Fiji,Oceania,Southern Hemisphere,High,EAP,99,22.6,22.6,22.6,22.6,23.64,23.28,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.27,0.27,0.27,0.27,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27
SUR,Suriname,America,Northern Hemisphere,High,LAC,99,37.3,37.3,37.3,37.3,37.3,37.3,23.44,23.36,46.7,46.7,46.7,46.7,,,,,0.50,0.50,0.50,0.50,0.50,0.50,0.28,0.28,0.65,0.65,0.65,0.65
JOR,Jordan,Asia,Northern Hemisphere,High,AS,102,21.1,21.1,20.5,20.5,20.5,20.5,20.5,17.9,17.9,17.9,17.9,17.9,,,,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.19,0.19,0.19,0.19,0.19
PRY,Paraguay,America,Southern Hemisphere,High,LAC,105,37.7,39.4,33.5,33.3,36.9,33,33.1,34.2,31.3,30.4,30.4,30.4,,,,,0.51,0.54,0.44,0.44,0.50,0.44,0.44,0.45,0.41,0.39,0.39,0.39
LCA,Saint Lucia,America,Northern Hemisphere,High,LAC,106,24.3,24.04,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,,,,,0.30,0.29,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
PSE,"Palestine, State of",Asia,Northern Hemisphere,High,AS,106,24.3,30.3,28.4,28.4,28.4,28.4,28.4,31.6,31.6,31.6,31.6,31.6,,,,,0.30,0.39,0.36,0.36,0.36,0.36,0.36,0.41,0.41,0.41,0.41,0.41
GUY,Guyana,America,Northern Hemisphere,High,LAC,108,24.4,24.4,24.4,24.4,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,,,,,0.30,0.30,0.30,0.30,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
ZAF,South Africa,Africa,Southern Hemisphere,High,SSA,109,57.3,57.3,54.7,54.7,54.7,56.1,56.1,57,57,57,57,57,,,,,0.82,0.82,0.78,0.78,0.78,0.80,0.80,0.82,0.82,0.82,0.82,0.82
JAM,Jamaica,America,Northern Hemisphere,High,LAC,110,24.3,32,32,32,32,32,32,32,32,32,32,32,,,,,0.30,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
GAB,Gabon,Africa,Southern Hemisphere,High,SSA,112,24.3,24.04,20.4,20.4,20.4,20.4,20.4,21.2,21.2,21.2,21.2,21.2,,,,,0.30,0.29,0.23,0.23,0.23,0.23,0.23,0.25,0.25,0.25,0.25,0.25
IDN,Indonesia,Asia,Southern Hemisphere,High,EAP,114,24.3,24.04,17.3,17.3,17.3,17.3,17.3,20.1,20.1,20.1,20.1,20.1,,,,,0.30,0.29,0.18,0.18,0.18,0.18,0.18,0.23,0.23,0.23,0.23,0.23
VNM,Viet Nam,Asia,Northern Hemisphere,High,EAP,115,22,22,22,21.4,21.4,21.4,21.4,21.4,21.4,21.4,14.6,14.6,,,,,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.14,0.14
PHL,Philippines,Asia,Northern Hemisphere,Medium,EAP,116,30,30,30,26.8,26.8,26.8,26.8,28.1,28.1,28.1,28.1,28.1,,,,,0.39,0.39,0.39,0.34,0.34,0.34,0.34,0.36,0.36,0.36,0.36,0.36
BWA,Botswana,Africa,Southern Hemisphere,Medium,SSA,117,55.5,55.5,55.5,55.5,55.5,23.28,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.80,0.80,0.80,0.80,0.80,0.28,0.28,0.28,0.28,0.28,0.27,0.27
BOL,Bolivia,America,Southern Hemisphere,Medium,LAC,118,38.2,33.6,35.3,35.8,35.4,34.6,33.5,32.2,29.1,26.9,26.9,26.9,,,,,0.52,0.44,0.47,0.48,0.47,0.46,0.44,0.42,0.37,0.34,0.34,0.34
